,load,day,hour,GFS_temp,NAM_temp,GFS_hum,NAM_dew,load_t_72,load_t_78,load_t_84,load_t_90
276,309.598,57,18,287.56666666666666,275.55315333333346,14.991666666666665,266.96774999999997,275.01,331.112,287.314,451.837
277,319.796,57,19,288.43333333333334,275.9765833333334,14.663888888888883,266.66208666666677,267.99,355.839,260.636,466.384
278,321.254,57,20,289.3,275.8689166666666,14.336111111111116,266.14870333333346,272.825,319.006,251.133,467.08
279,345.1980000000001,57,21,290.1666666666666,275.28299999999996,14.008333333333333,265.7844333333334,283.158,298.863,250.376,441.519
280,371.229,57,22,289.8322222222222,274.28373666666675,15.627777777777789,265.6144766666667,313.031,285.38,255.415,392.918
281,429.53,57,23,289.4977777777778,273.0429233333333,17.24722222222221,265.54425,366.04,278.913,280.769,329.415
282,479.181,58,0,289.16333333333336,272.42929666666674,18.866666666666664,265.4387333333333,430.24300000000005,275.01,331.112,287.314
283,479.991,58,1,287.62888888888887,272.02869000000004,21.027777777777768,265.4544533333333,442.68,267.99,355.839,260.636
284,460.963,58,2,286.0944444444444,271.8107,23.188888888888897,265.64325,440.381,272.825,319.006,251.133
285,419.103,58,3,284.56,271.63778999999994,25.350000000000005,265.92565999999994,413.506,283.158,298.863,250.376
286,370.041,58,4,284.02111111111105,271.55558666666667,26.713888888888892,266.1887433333334,368.401,313.031,285.38,255.415
287,313.15,58,5,283.4822222222222,271.46320000000003,28.07777777777778,266.5709433333334,308.134,366.04,278.913,280.769
288,305.467,58,6,282.0258333333333,270.4933033333334,31.391666666666666,266.3581333333334,264.455,430.24300000000005,275.01,331.112
289,277.873,58,7,281.3733333333334,270.91150000000005,33.52500000000001,267.3571166666667,239.43,442.68,267.99,355.839
290,269.431,58,8,280.72083333333336,270.98972666666674,35.65833333333332,267.52063,223.035,440.381,272.825,319.006
291,269.21,58,9,280.0683333333333,271.1597666666667,37.791666666666664,267.4958500000001,221.062,413.506,283.158,298.863
292,275.955,58,10,280.0288888888889,271.2887833333333,37.933333333333344,267.4463866666667,226.044,368.401,313.031,285.38
293,306.828,58,11,279.9894444444444,271.33618000000007,38.074999999999996,267.40055666666666,258.026,308.134,366.04,278.913
294,371.18,58,12,279.95,271.5830833333333,38.21666666666666,267.42259999999993,294.986,264.455,430.24300000000005,275.01
295,393.345,58,13,281.2972222222221,273.15502999999995,35.82222222222223,267.75488,311.7340000000001,239.43,442.68,267.99
296,342.69,58,14,282.64444444444445,275.1961466666667,33.42777777777777,268.1887666666667,313.401,223.035,440.381,272.825
297,316.3,58,15,283.9916666666666,277.22616999999997,31.03333333333333,268.88051333333334,301.9170000000001,221.062,413.506,283.158
298,302.094,58,16,286.46388888888885,279.0278533333333,27.36111111111111,269.4827666666667,300.1040000000001,226.044,368.401,313.031
299,292.338,58,17,288.93611111111113,280.4584466666667,23.688888888888894,269.92931333333337,294.046,258.026,308.134,366.04
300,289.379,58,18,291.40833333333336,281.30373333333335,20.01666666666667,270.29793333333345,289.202,294.986,264.455,430.24300000000005
301,280.587,58,19,292.3038888888888,281.64980333333347,18.53611111111111,270.38156666666663,282.16,311.7340000000001,239.43,442.68
302,283.022,58,20,293.1994444444445,281.5381866666667,17.05555555555556,270.23154666666665,279.55400000000003,313.401,223.035,440.381
303,297.036,58,21,294.09499999999997,280.9249433333333,15.574999999999998,270.17859,279.782,301.9170000000001,221.062,413.506
304,333.807,58,22,293.5122222222222,279.9145833333334,16.00277777777779,270.20073333333335,306.779,300.1040000000001,226.044,368.401
305,396.67800000000005,58,23,292.9294444444445,279.0770733333333,16.430555555555543,270.3032433333333,359.841,294.046,258.026,308.134
306,475.268,59,0,292.34666666666664,278.59638333333334,16.858333333333334,270.8784733333334,413.581,289.202,294.986,264.455
307,491.79,59,1,290.9816666666666,278.2716500000001,18.416666666666657,271.6607233333333,422.153,282.16,311.7340000000001,239.43
308,489.581,59,2,289.6166666666666,277.9214033333333,19.975000000000005,272.2717066666666,417.224,279.55400000000003,313.401,223.035
309,456.122,59,3,288.2516666666667,277.57928,21.53333333333333,272.72623333333325,392.619,279.782,301.9170000000001,221.062
310,399.551,59,4,288.0241666666667,277.2780666666666,22.308333333333323,272.99979666666667,352.7290000000001,306.779,300.1040000000001,226.044
311,333.232,59,5,287.7966666666666,277.05524999999994,23.08333333333334,273.1731433333333,302.309,359.841,294.046,258.026
312,275.423,59,6,288.09166666666664,274.7737866666667,22.241666666666664,271.3755499999999,241.643,413.581,289.202,294.986
313,251.022,59,7,287.8569444444446,274.6167300000001,23.099999999999998,271.98675,218.92,422.153,282.16,311.7340000000001
314,243.462,59,8,287.6222222222221,274.6563666666667,23.958333333333332,272.19656,202.993,417.224,279.55400000000003,313.401
315,242.21,59,9,287.3875,274.67615000000006,24.816666666666666,272.35984999999994,196.917,392.619,279.782,301.9170000000001
316,246.995,59,10,287.2916666666667,274.70386666666656,26.258333333333326,272.42547999999994,192.596,352.7290000000001,306.779,300.1040000000001
317,275.821,59,11,287.1958333333333,274.8308333333333,27.700000000000006,272.51312,200.007,302.309,359.841,294.046
318,339.521,59,12,287.1,275.14316666666656,29.141666666666662,272.59722999999997,226.612,241.643,413.581,289.202
319,363.416,59,13,287.6666666666666,276.0191833333333,29.34999999999999,273.0965133333333,253.401,218.92,422.153,282.16
320,327.816,59,14,288.23333333333335,278.30409333333336,29.558333333333337,274.09126333333325,289.155,202.993,417.224,279.55400000000003
321,312.2,59,15,288.8,281.05123999999995,29.766666666666666,274.9269666666666,307.683,196.917,392.619,279.782
322,291.777,59,16,290.4888888888889,282.88263,24.672222222222217,275.2600700000001,314.001,192.596,352.7290000000001,306.779
323,282.687,59,17,292.17777777777775,284.2003,19.577777777777783,275.51665,325.6620000000001,200.007,302.309,359.841
324,282.2990000000001,59,18,293.8666666666666,285.1378566666667,14.483333333333333,275.7566133333333,325.9,226.612,241.643,413.581
